California State University-Northridge,Northridge,CA,www.csun.edu,Public,6525,17685,33581,28146,5435,
California State University-Sacramento,Sacramento,CA,www.csus.edu,Public,6628,17788,25991,21028,4963,
University of California-Berkeley,Berkeley,CA,www.berkeley.edu,Public,12864,35742,25951,25220,731,
University of California-Davis,Davis,CA,www.ucdavis.edu,Public,13895,36773,26483,25776,707,
University of California-Irvine,Irvine,CA,www.uci.edu/,Public,13149,36027,23517,23114,403,
University of California-Los Angeles,Los Angeles,CA,www.ucla.edu/,Public,12697,35575,28667,28077,590,
University of California-Riverside,Riverside,CA,www.ucr.edu,Public,12960,35838,18612,18197,415,
University of California-San Diego,La Jolla,CA,www.ucsd.edu,Public,13271,36149,23792,23147,645,
University of California-Santa Barbara,Santa Barbara,CA,www.ucsb.edu,Public,13746,36624,19362,19076,286,
University of California-Santa Cruz,Santa Cruz,CA,www.ucsc.edu/,Public,13397,36275,15695,15323,372,
Sofia University,Palo Alto,CA,www.sofia.edu,Private,0,0,20,20,0,
California Christian College,Fresno,CA,www.calchristiancollege.edu,Private,8275,8275,30,18,12,
California College San Diego,San Diego,CA,www.cc-sd.edu,Private,18480,18480,762,762,0,
California Institute of the Arts,Valencia,CA,www.calarts.edu,Private,40536,40536,987,974,13,
California Maritime Academy,Vallejo,CA,www.csum.edu,Public,6536,17696,1044,1007,37,
Chapman University,Orange,CA,www.chapman.edu,Private,43573,43573,5940,5733,207,
Charles R Drew University of Medicine and Science,Los Angeles,CA,www.cdrewu.edu,Private,11956,11956,83,41,42,
Concordia University-Irvine,Irvine,CA,www.cui.edu,Private,29630,29630,1916,1742,174,
San Diego Christian College,El Cajon,CA,www.sdcc.edu,Private,25888,25888,889,795,94,
Claremont McKenna College,Claremont,CA,www.claremontmckenna.edu/,Private,45625,45625,1311,1307,4,
Coleman University,San Diego,CA,www.coleman.edu,Private,20200,20200,532,433,99,
Columbia College-Hollywood,Tarzana,CA,www.columbiacollege.edu,Private,18804,18804,314,285,29,
Dell'Arte International School of Physical Theatre,Blue Lake,CA,www.dellarte.com/school,Private,12750,12750,14,14,0,
Dominican University of California,San Rafael,CA,www.dominican.edu,Private,40600,40600,1567,1289,278,
Fresno Pacific University,Fresno,CA,www.fresno.edu,Private,25716,25716,2496,2134,362,
Golden Gate University-San Francisco,San Francisco,CA,www.ggu.edu,Private,14400,14400,470,104,366,
Harvey Mudd College,Claremont,CA,www.hmc.edu,Private,46509,46509,803,801,2,
Holy Names University,Oakland,CA,www.hnu.edu,Private,33020,33020,800,594,206,
Humboldt State University,Arcata,CA,www.humboldt.edu,Public,7144,18304,7748,7241,507,
Humphreys College-Stockton and Modesto Campuses,Stockton,CA,www.humphreys.edu,Private,11277,11277,757,402,355,
John F Kennedy University,Pleasant Hill,CA,www.jfku.edu,Private,0,0,271,67,204,
American Jewish University,Los Angeles,CA,www.aju.edu,Private,27900,27900,109,108,1,
Life Pacific College,San Dimas,CA,www.lifepacific.edu,Private,12500,12500,475,392,83,
University of La Verne,La Verne,CA,www.laverne.edu/,Private,35000,35000,5128,3619,1509,
Laguna College of Art and Design,Laguna Beach,CA,www.lcad.edu,Private,26500,26500,514,466,48,
Lincoln University,Oakland,CA,www.lincolnuca.edu,Private,10105,10105,97,56,41,
Southern California Seminary,El Cajon,CA,www.socalsem.edu,Private,13692,13692,68,19,49,
La Sierra University,Riverside,CA,www.lasierra.edu,Private,29103,29103,2060,1895,165,
Loma Linda University,Loma Linda,CA,www.llu.edu/index.html,Private,0,0,1101,951,150,
Southern California University of Health Sciences,Whittier,CA,www.scuhs.edu,Private,0,0,0,0,0,
The Master's College and Seminary,Santa Clarita,CA,www.masters.edu,Private,28800,28800,1112,981,131,
Loyola Marymount University,Los Angeles,CA,www.lmu.edu,Private,40265,40265,6087,5919,168,
Marymount California University,Rancho Palos Verdes,CA,www.marymountcalifornia.edu,Private,30579,30579,1033,1002,31,
Menlo College,Atherton,CA,www.menlo.edu,Private,37100,37100,742,712,30,
Mills College,Oakland,CA,www.mills.edu,Private,41494,41494,974,922,52,
Monterey Institute of International Studies,Monterey,CA,www.miis.edu,Private,0,0,22,20,2,
Mount St Mary's College,Los Angeles,CA,www.msmc.la.edu,Private,33852,33852,2617,2091,526,
National University,La Jolla,CA,www.nu.edu,Private,12096,12096,9788,3710,6078,
Northwestern Polytechnic University,Fremont,CA,www.npu.edu,Private,8300,8300,183,165,18,
Notre Dame de Namur University,Belmont,CA,www.ndnu.edu,Private,31126,31126,1209,826,383,
Occidental College,Los Angeles,CA,www.oxy.edu,Private,46652,46652,2101,2089,12,
Otis College of Art and Design,Los Angeles,CA,www.otis.edu,Private,39430,39430,1029,1015,14,
Hope International University,Fullerton,CA,www.hiu.edu,Private,26050,26050,872,671,201,
Palo Alto University,Palo Alto,CA,www.paloaltou.edu,Private,0,0,191,188,3,
Pacific Oaks College,Pasadena,CA,www.pacificoaks.edu,Private,0,0,415,53,362,
Pacific States University,Los Angeles,CA,www.psuca.edu,Private,19340,19340,14,14,0,
Pacific Union College,Angwin,CA,www.puc.edu,Private,27480,27480,1601,1454,147,
University of the Pacific,Stockton,CA,www.pacific.edu,Private,39810,39810,3869,3777,92,
Pepperdine University,Malibu,CA,www.pepperdine.edu/,Private,44902,44902,3516,3165,351,
Pitzer College,Claremont,CA,www.pitzer.edu,Private,45018,45018,1081,1044,37,
Point Loma Nazarene University,San Diego,CA,www.pointloma.edu,Private,30356,30356,2543,2482,61,
Pomona College,Claremont,CA,www.pomona.edu,Private,43580,43580,1587,1583,4,
University of Redlands,Redlands,CA,www.redlands.edu,Private,41290,41290,3462,2694,768,
Dongguk University-Los Angeles,Los Angeles,CA,dula.edu,Private,0,0,9,8,1,
Samuel Merritt University,Oakland,CA,www.samuelmerritt.edu,Private,0,0,506,492,14,
San Diego State University,San Diego,CA,www.sdsu.edu,Public,6766,17926,26625,23839,2786,
University of San Diego,San Diego,CA,www.sandiego.edu,Private,41392,41392,5573,5430,143,
San Francisco Art Institute,San Francisco,CA,www.sfai.edu,Private,38406,38406,468,440,28,
San Francisco Conservatory of Music,San Francisco,CA,www.sfcm.edu,Private,39580,39580,172,171,1,
San Francisco State University,San Francisco,CA,www.sfsu.edu,Public,6450,17610,25271,21836,3435,
University of San Francisco,San Francisco,CA,www.usfca.edu/,Private,40294,40294,6308,6074,234,
William Jessup University,Rocklin,CA,www.jessup.edu,Private,24040,24040,1029,837,192,
San Jose State University,San Jose,CA,www.sjsu.edu,Public,7343,18503,25723,20772,4951,
Santa Clara University,Santa Clara,CA,www.scu.edu,Private,42156,42156,5404,5314,90,
Scripps College,Claremont,CA,www.scrippscollege.edu,Private,45564,45564,980,975,5,
Shasta Bible College and Graduate School,Redding,CA,www.shasta.edu,Private,10360,10360,45,30,15,
Simpson University,Redding,CA,www.simpsonu.edu,Private,23300,23300,1024,993,31,
Saint Mary's College of California,Moraga,CA,www.stmarys-ca.edu,Private,39890,39890,3039,2819,220,
Sonoma State University,Rohnert Park,CA,www.sonoma.edu,Public,7234,18394,8321,7658,663,
South Baylo University,Anaheim,CA,www.southbaylo.edu,Private,0,0,125,125,0,
Vanguard University of Southern California,Costa Mesa,CA,www.vanguard.edu,Private,29250,29250,2057,1576,481,
Southern California Institute of Architecture,Los Angeles,CA,www.sciarc.edu,Private,37300,37300,237,227,10,
University of Southern California,Los Angeles,CA,www.usc.edu/,Private,46298,46298,18087,17578,509,
Thomas Aquinas College,Santa Paula,CA,www.thomasaquinas.edu,Private,24500,24500,366,366,0,
Epic Bible College,Sacramento,CA,epic.edu,Private,9690,9690,263,90,173,
Westmont College,Santa Barbara,CA,www.westmont.edu,Private,38510,38510,1295,1292,3,
Whittier College,Whittier,CA,www.whittier.edu,Private,40296,40296,1651,1619,32,
Woodbury University,Burbank,CA,woodbury.edu/,Private,33150,33150,1353,1175,178,
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,Los Angeles,CA,www.yoec.edu/,Private,13300,13300,131,131,0,
Adams State University,Alamosa,CO,www.adams.edu,Public,7449,18081,2227,1868,359,
University of Colorado Denver,Denver,CO,www.ucdenver.edu/,Public,7933,22057,10470,7759,2711,
University of Colorado Colorado Springs,Colorado Springs,CO,www.uccs.edu,Public,7024,18437,8888,6946,1942,
University of Colorado Boulder,Boulder,CO,www.colorado.edu,Public,10347,32115,25461,23793,1668,
Colorado Christian University,Lakewood,CO,www.ccu.edu,Private,25046,25046,3614,1417,2197,
Colorado College,Colorado Springs,CO,www.coloradocollege.edu,Private,44222,44222,2025,2025,0,
Colorado Mountain College,Glenwood Springs,CO,www.coloradomtn.edu,Public,2460,7356,3559,1693,1866,
Colorado School of Mines,Golden,CO,www.mines.edu,Public,16485,32415,4197,4026,171,
Colorado State University-Fort Collins,Fort Collins,CO,www.colostate.edu,Public,9313,25166,22482,20180,2302,
College America-Denver,Denver,CO,www.collegeamerica.edu,Private,17211,17211,497,497,0,
University of Denver,Denver,CO,www.du.edu,Private,40707,40707,5505,5119,386,
Fort Lewis College,Durango,CO,fortlewis.edu/,Public,6923,17763,3859,3592,267,
Colorado Mesa University,Grand Junction,CO,www.coloradomesa.edu,Public,6725,16748,8733,7212,1521,
Metropolitan State University of Denver,Denver,CO,www.msudenver.edu/,Public,5744,17837,21696,13030,8666,
